id,rachisLength ,terminalLeafLength,primary,secondary,intercalary,total
1A,16.505,7.631,7,2,6,15
2A,19.839,8.705,7,6,3,16
3A,19.845,6.851,7,6,7,20
4A,20.702,7.139,9,8,11,28
5A,17.386,7.027,7,9,4,20
6A,22.064,8.896,7,7,4,18
7A,16.498,5.389,7,1,5,13
8A,13.506,5.6,7,2,2,11
9A,17.186,7.182,7,5,4,16
10A,17.975,5.714,7,3,3,13
11A,17.961,6.8,7,2,1,10
12A,19.256,7.134,7,3,3,13
13A,18.494,5.516,7,3,2,12
14A,18.03,6.219,7,5,3,15
15A,12.831,5.897,7,1,5,13
16A,15.136,5.432,7,4,4,15
17A,12.617,5.731,7,3,3,13
18A,11.948,4.559,7,2,3,12
19A,14.051,6.011,7,4,2,13
20A,14.07,5.624,7,5,4,16
21A,15.159,5.83,7,3,4,14
22A,17.489,7.192,7,3,2,12
23A,16.929,5.328,7,8,4,19
24A,0,0,0,0,0,0
25A,17.401,5.391,7,5,2,14
26A,15.972,5.814,7,4,2,13
27A,12.963,6.406,7,2,2,11
28A,14.066,6.445,7,2,4,13
29A,13.972,5.263,7,3,3,13
30A,15.862,6.246,7,5,2,14
31A,18.81,8.262,7,6,3,16
32A,16.915,7.077,7,6,2,15
33A,0,0,0,0,0,0
34A,21.463,7.01,8,5,1,14
35A,21.867,6.451,8,3,5,16
36A,,,,,,0
37B,18.608,7.133,7,7,6,20
38B,24.065,9.866,8,7,10,25
39B,31.796,8.698,7,11,8,26
40B,21.841,9.061,7,4,2,13
41B,22.47,7.864,7,7,6,20
42B,21.629,6.578,7,9,3,19
43B,20.873,8.21,8,2,4,14
44B,19.473,8.267,7,5,4,16
45B,18.466,6.816,7,5,2,14
46B,20.008,8.781,7,3,2,12
47B,19.548,7.932,7,6,2,15
48B,24.394,6.274,7,10,6,23
49B,18.35,7.493,9,3,4,16
50B,26.603,9.186,6,7,2,15
51B,21.854,8.091,7,6,3,16
52B,24.626,7.669,8,7,5,20
53B,21.274,8.722,7,8,4,19
54B,21.938,8.249,7,5,3,15
55B,21.243,8.491,7,8,1,16
56B,17.874,8.257,7,4,2,13
57B,18.838,7.723,7,4,3,14
58B,18.554,5.127,7,4,8,19
59B,11.762,5.301,7,1,3,11
60B,13.014,8.344,7,5,4,16
61B,19.552,7.931,7,10,2,19
62B,21.535,8.156,7,4,2,13
63B,19.028,7.676,7,8,3,18
64B,21.676,8.024,7,8,3,18
65B,14.671,7.081,7,2,2,11
66B,18.304,7.147,7,6,4,17
67B,23.449,7.86,7,6,4,17
68B,16.758,8.043,7,2,3,12
69B,17.893,7.389,7,6,4,17
70B,22.356,7.118,9,6,3,18
71B,20.561,7.327,7,4,4,15
72B,21.155,8.212,7,6,2,15
73C,23.519,7.72,7,4,1,12
74C,17.701,8.317,7,3,2,12
75C,19.691,8.13,7,5,5,17
76C,18.191,7.796,7,8,5,20
77C,19.382,7.417,7,7,4,18
78C,19.653,8.157,7,5,4,16
79C,21.698,7.063,9,12,3,24
80C,21.236,7.142,9,11,6,26
81C,23.205,8.629,9,7,4,20
82C,18.003,6.193,7,3,6,16
83C,19.914,6.762,7,5,2,14
84C,17.875,6.979,7,4,6,17
85C,18.034,7.554,7,5,3,15
86C,17.923,5.626,7,2,4,13
87C,20.865,5.853,7,9,4,20
88C,18.549,6.551,7,1,5,13
89C,19.257,7.417,7,2,3,12
90C,20.791,7.403,7,3,5,15
91C,20.131,8.788,7,6,3,16
92C,15.225,8.157,7,2,0,9
93C,0,0,0,0,0,0
94C,0,0,0,0,0,0
95C,15.633,8.35,5,1,1,7
96C,17.048,7.075,7,8,5,20
97C,21.232,7.928,7,7,4,18
98C,22.694,7.383,6,3,4,13
99C,23.512,7.632,9,11,4,24
100C,23.143,8.125,7,2,4,13
101C,16.976,7.554,7,6,3,16
102C,18.397,7.691,7,5,2,14
103C,17.455,7.442,7,5,2,14
104C,0,0,0,0,0,0
105C,15.508,7.254,8,0,2,10
106C,16.275,7.973,7,4,2,13
107C,23.995,5.861,7,8,3,18
108C,18.742,7.167,7,5,3,15
109D,19.432,9.03,7,7,4,18
110D,19.964,8.984,7,4,3,14
111D,20.805,7.901,7,4,4,15
112D,16.191,8.829,7,5,3,15
113D,18.831,8.701,7,6,2,15
114D,16.658,7.807,7,4,3,14
115D,16.974,7.597,7,4,3,14
116D,20.671,7.286,7,5,4,16
117D,21.993,7.624,7,9,3,19
118D,15.356,7.075,7,8,4,19
119D,21.091,8.515,7,7,4,18
120D,16.586,6.68,7,8,5,20
121D,19.053,7.597,7,5,3,15
122D,17.345,6.984,9,12,1,22
123D,19.411,8.401,7,3,1,11
124D,18.968,8.813,7,5,2,14
125D,22.916,7.865,7,8,8,23
126D,16.557,8.65,7,5,3,15
