Plant ,Tray,Genotype,Phenotype,Match,Leaves
1,A,y,y,y,9
2,A,n,y,n,11
3,A,y,y,y,9
4,A,y,y,y,9
5,A,y,n,n,8
6,A,n,n,y,8
7,A,y,y,y,7
8,A,y,y,y,11
9,A,y,y,y,9
10,A,n,n,y,6
11,A,n,n,y,8
12,A,y,y,y,9
13,A,n,y,n,7
14,A,y,y,y,9
15,A,y,y,y,9
16,A,y,y,y,10
17,A,y,y,y,10
18,A,y,y,y,12
19,A,y,y,y,10
20,A,y,y,y,8
21,A,y,y,y,8
22,A,y,y,y,9
23,A,y,y,y,NA
24,A,NA,n,NA,NA
25,A,n,n,y,6
26,A,n,n,y,9
27,A,n,n,y,8
28,A,n,y,n,6
29,A,y,n,n,9
30,A,y,y,y,7
31,A,y,y,y,9
32,A,NA,y,NA,7
33,A,NA,y,NA,NA
34,A,NA,y,NA,5
35,A,n,n,y,6
36,A,n,y,n,11
37,B,n,y,n,5
38,B,y,y,y,10
39,B,y,n,n,10
40,B,n,n,y,6
41,B,y,y,y,8
42,B,y,y,y,9
43,B,y,y,y,10
44,B,y,y,y,8
45,B,y,y,y,9
46,B,n,y,n,9
47,B,y,y,y,10
48,B,NA,n,NA,8
49,B,NA,n,NA,8
50,B,n,n,y,9
51,B,y,y,y,10
52,B,y,y,y,9
53,B,y,y,y,10
54,B,y,y,y,10
55,B,y,y,y,10
56,B,y,y,y,12
57,B,y,y,y,9
58,B,n,n,y,NA
59,B,n,n,y,6
60,B,y,y,y,10
61,B,y,y,y,7
62,B,y,n,n,11
63,B,y,y,y,9
64,B,NA,y,NA,6
65,B,NA,y,NA,9
66,B,NA,y,NA,10
67,B,NA,y,NA,11
68,B,NA,y,NA,11
69,B,NA,y,NA,7
70,B,NA,y,NA,9
71,B,NA,y,NA,11
72,B,NA,y,NA,8
73,C,NA,n,NA,7
74,C,NA,y,NA,9
75,C,NA,n,NA,5
76,C,NA,n,NA,8
77,C,NA,y,NA,6
78,C,NA,y,NA,10
79,C,NA,n,NA,7
80,C,NA,y,NA,8
81,C,NA,n,NA,6
82,C,NA,y,NA,8
83,C,NA,y,NA,10
84,C,NA,y,NA,8
85,C,NA,y,NA,10
86,C,NA,n,NA,6
87,C,NA,y,NA,7
88,C,NA,y,NA,5
89,C,NA,y,NA,11
90,C,NA,y,NA,9
91,C,NA,n,NA,9
92,C,NA,n,NA,11
93,C,NA,y,NA,10
94,C,NA,y,NA,8
95,C,NA,n,NA,10
96,C,NA,y,NA,10
97,C,NA,y,NA,7
98,C,NA,n,NA,5
99,C,NA,y,NA,8
100,C,NA,y,NA,10
101,C,NA,y,NA,9
102,C,NA,y,NA,9
103,C,NA,y,NA,9
104,C,NA,y,NA,8
105,C,NA,n,NA,7
106,C,NA,y,NA,9
107,C,NA,n,NA,6
108,C,NA,y,NA,8
109,D,y,y,y,9
110,D,y,y,y,10
111,D,y,y,y,9
112,D,n,y,n,10
113,D,y,y,y,9
114,D,n,y,n,10
115,D,y,y,y,8
116,D,y,y,y,7
117,D,y,y,y,8
118,D,y,y,y,7
119,D,y,y,y,9
120,D,y,y,y,6
121,D,y,y,y,7
122,D,y,y,y,7
123,D,y,y,y,9
124,D,n,y,n,7
125,D,y,n,n,5
126,D,n,y,n,9
127,D,y,y,y,5
128,D,y,y,y,9
129,D,n,y,n,8
130,D,n,n,y,6
131,D,n,n,y,8
132,D,y,n,n,6
133,D,y,n,n,2
134,D,y,y,y,9
135,D,NA,y,NA,9
136,D,y,n,n,10
137,D,n,y,n,9
138,D,y,y,y,12
139,D,n,y,n,8
140,D,y,y,y,8
141,D,n,n,y,5
142,D,y,y,y,9
143,D,n,y,n,7
144,D,y,y,y,10
145,E,y,y,y,10
146,E,n,y,n,2
147,E,y,n,n,9
148,E,y,y,y,10
149,E,n,n,y,10
150,E,y,y,y,NA
151,E,n,y,n,6
152,E,y,y,y,12
153,E,y,y,y,11
154,E,y,y,y,9
155,E,y,y,y,8
156,E,y,y,y,11
157,E,y,y,y,9
158,E,y,y,y,8
159,E,y,y,y,9
160,E,y,y,y,8
161,E,y,y,y,11
162,E,y,y,y,10
163,E,y,y,y,5
164,E,y,y,y,11
165,E,y,y,y,10
166,E,y,y,y,10
167,E,n,n,y,7
168,E,y,y,y,10
WT1,F,NA,NA,NA,13
WT2,F,NA,NA,NA,13
WT3,F,NA,NA,NA,NA
WT4,F,NA,NA,NA,12
WT5,F,NA,NA,NA,11
WT6,F,NA,NA,NA,13
WT7,F,NA,NA,NA,14
WT8,F,NA,NA,NA,13
WT9,F,NA,NA,NA,8
WT10,F,NA,NA,NA,13
WT11,F,NA,NA,NA,10
WT12,F,NA,NA,NA,14
WT13,F,NA,NA,NA,3
WT14,F,NA,NA,NA,13
WT15,F,NA,NA,NA,13
WT16,F,NA,NA,NA,13
E1,G,NA,NA,NA,7
E2,G,NA,NA,NA,8
E3,G,NA,NA,NA,7
E4,G,NA,NA,NA,7
E5,G,NA,NA,NA,7
E6,G,NA,NA,NA,NA
E7,G,NA,NA,NA,NA
E8,G,NA,NA,NA,NA
E9,G,NA,NA,NA,NA
E10,G,NA,NA,NA,7
E11,G,NA,NA,NA,10
E12,G,NA,NA,NA,9
E13,G,NA,NA,NA,7
E14,G,NA,NA,NA,7
E15,G,NA,NA,NA,9
E16,G,NA,NA,NA,7
E17,G,NA,NA,NA,8
