Label,Area,Perim.,Circ.,AR,Round,Solidity
L1_EA10.bmp,0.008,0.836,0.147,3.046,0.328,0.6
L1_EA10.bmp,13.053,34.747,0.136,1.248,0.802,0.861
L1_EA11.bmp,11.402,27.369,0.191,1.099,0.91,0.864
L1_EA11.bmp,11.402,27.38,0.191,1.099,0.91,0.864
L1_EA12.bmp,10.755,31.696,0.135,1.213,0.824,0.845
L1_EA12.bmp,6.80E-04,0.078,1,2,0.5,1
L1_EA13.bmp,13.04,25.42,0.254,1.213,0.824,0.935
L1_EA13.bmp,13.04,25.42,0.254,1.213,0.824,0.935
L1_EA14.bmp,0.002,0.23,0.564,1.803,0.555,0.737
L1_EA14.bmp,15.665,43.115,0.106,1.438,0.695,0.815
L1_EA15.bmp,12.446,37.217,0.113,1.28,0.782,0.846
L1_EA15.bmp,13.126,31.166,0.17,1.282,0.78,0.857
L1_EA17.bmp,3.40E-04,0.052,1,1,1,1
L1_EA17.bmp,0.001,0.13,1,2.031,0.492,0.8
L1_EA18.bmp,9.541,24.979,0.192,1.134,0.882,0.825
L1_EA18.bmp,8.959,30.382,0.122,1.132,0.883,0.808
L1_EA2.bmp,6.80E-04,0.089,1,2,0.5,1
L1_EA2.bmp,0.001,0.104,1,1.464,0.683,0.857
L1_EA3.bmp,10.661,31.1,0.139,1.686,0.593,0.875
L1_EA3.bmp,0.001,0.141,0.857,2.031,0.492,0.8
L1_EA4.bmp,18.265,36.558,0.172,1.215,0.823,0.906
L1_EA4.bmp,18.265,36.558,0.172,1.215,0.823,0.906
L1_EA5.bmp,3.40E-04,0.052,1,1,1,1
L1_EA5.bmp,12.324,32.278,0.149,1.066,0.938,0.903
L1_EA7.bmp,0.006,0.642,0.176,17,0.059,1
L1_EA7.bmp,0.006,0.642,0.176,17,0.059,1
L1_EA8.bmp,20.182,45.338,0.123,1.116,0.896,0.848
L1_EA8.bmp,6.80E-04,0.078,1,2,0.5,1
L1_EA9.bmp,0.005,0.439,0.333,1.822,0.549,0.588
L1_EA9.bmp,8.73,28.388,0.136,1.418,0.705,0.879
L1_EB1.bmp,0.001,0.13,1,2.031,0.492,0.8
L1_EB1.bmp,12.424,32.538,0.147,1.326,0.754,0.889
L1_EB10.bmp,21.265,46.37,0.124,1.311,0.763,0.874
L1_EB10.bmp,0.002,0.156,0.873,2.308,0.433,0.769
L1_EB11.bmp,24.858,41.141,0.185,1.286,0.778,0.854
L1_EB11.bmp,23.864,48.858,0.126,1.281,0.781,0.847
L1_EB12.bmp,0.004,0.387,0.371,1.56,0.641,0.619
L1_EB12.bmp,6.80E-04,0.078,1,2,0.5,1
L1_EB13.bmp,13.775,25.807,0.26,1.332,0.751,0.95
L1_EB13.bmp,13.775,25.807,0.26,1.332,0.751,0.95
L1_EB14.bmp,3.40E-04,0.052,1,1,1,1
L1_EB14.bmp,11.872,35.825,0.116,1.357,0.737,0.831
L1_EB15.bmp,25.196,41.365,0.185,1.631,0.613,0.907
L1_EB15.bmp,24.277,48.001,0.132,1.64,0.61,0.885
L1_EB16.bmp,12.972,30.455,0.176,1.89,0.529,0.912
L1_EB16.bmp,6.80E-04,0.089,1,2,0.5,1
L1_EB17.bmp,22.437,37.772,0.198,1.533,0.652,0.89
L1_EB17.bmp,22.437,37.761,0.198,1.533,0.652,0.89
L1_EB19.bmp,20.464,32.11,0.249,1.583,0.632,0.943
L1_EB19.bmp,20.464,32.121,0.249,1.583,0.632,0.943
L1_EB2.bmp,18.991,45.165,0.117,1.455,0.687,0.863
L1_EB2.bmp,18.991,45.165,0.117,1.455,0.687,0.863
L1_EB3.bmp,16.048,30.473,0.217,1.538,0.65,0.878
L1_EB3.bmp,16.048,30.473,0.217,1.538,0.65,0.878
L1_EB4.bmp,19.005,44.98,0.118,1.682,0.595,0.87
L1_EB4.bmp,19.005,44.98,0.118,1.682,0.595,0.87
L1_EB5.bmp,0.001,0.126,0.809,3,0.333,1
L1_EB5.bmp,19.891,29.655,0.284,1.347,0.742,0.928
L1_EB6.bmp,0.006,0.642,0.176,17,0.059,1
L1_EB6.bmp,0.006,0.642,0.176,17,0.059,1
L1_EB7.bmp,0.001,0.126,0.809,3,0.333,1
L1_EB7.bmp,19.57,29.61,0.28,1.262,0.792,0.932
L1_EB8.bmp,20.197,35.066,0.206,1.42,0.704,0.922
L1_EB8.bmp,0.002,0.193,0.572,2.165,0.462,0.588
L1_EB9.bmp,22.748,37.344,0.205,1.417,0.706,0.914
L1_EB9.bmp,22.066,46.287,0.129,1.417,0.706,0.9
L1_EC1.bmp,16.993,41.705,0.123,1.579,0.633,0.843
L1_EC1.bmp,16.993,41.705,0.123,1.579,0.633,0.843
L1_EC10.bmp,0.006,0.593,0.219,4.155,0.241,0.444
L1_EC10.bmp,13.51,29.119,0.2,1.162,0.86,0.881
L1_EC11.bmp,24.703,49.903,0.125,1.269,0.788,0.88
L1_EC11.bmp,6.80E-04,0.078,1,2,0.5,1
L1_EC12.bmp,9.161,30.999,0.12,1.195,0.837,0.831
L1_EC12.bmp,9.161,31.01,0.12,1.195,0.837,0.831
L1_EC13.bmp,19.253,43.394,0.128,1.446,0.692,0.855
L1_EC13.bmp,19.971,35.832,0.195,1.441,0.694,0.868
L1_EC14.bmp,3.40E-04,0.052,1,1,1,1
L1_EC14.bmp,24.821,52.089,0.115,1.431,0.699,0.872
L1_EC15.bmp,11.223,33.753,0.124,2.2,0.455,0.876
L1_EC15.bmp,11.223,33.753,0.124,2.2,0.455,0.876
L1_EC16.bmp,0.002,0.193,0.572,2.165,0.462,0.588
L1_EC16.bmp,24.484,37.783,0.216,1.6,0.625,0.91
L1_EC17.bmp,25.963,40.06,0.203,1.401,0.714,0.883
L1_EC17.bmp,25.107,47.337,0.141,1.404,0.713,0.882
L1_EC18.bmp,22.151,33.828,0.243,1.371,0.729,0.924
L1_EC18.bmp,22.151,33.828,0.243,1.371,0.729,0.924
L1_EC2.bmp,6.80E-04,0.089,1,2,0.5,1
L1_EC2.bmp,23.153,48.866,0.122,1.688,0.592,0.904
L1_EC3.bmp,0.005,0.605,0.187,16,0.062,1
L1_EC3.bmp,0.005,0.605,0.187,16,0.062,1
