[Analysis Information]

Results File : E:\Ciera entire2\asPCAresults.pcr
Analyzed NEF File : E:\Ciera entire2\e2NEF
Title of NEF File Data : 
Analyzed Date : Tue May 10 18:47:08 2011
Method of Analysis : Covariance
Number of Data : 1430
Number of Harmonics : 20
Number of Analyzed Harmonics : 20
Constant Coefficient(s) : b1 c1 
Number of Principal Components : 38
( = Number of Analyzed Coefficients (NAC) )
Number of Effective Principal Components : 6
( = Number of Principal Components whose proportion is larger than 1 / NAC )
Analyzed Coefficients : b2 c2 b3 c3 b4 c4 b5 c5 b6 c6 b7 c7 b8 c8 b9 c9 b10 c10 b11 c11 b12 c12 b13 c13 b14 c14 b15 c15 b16 c16 b17 c17 b18 c18 b19 c19 b20 c20 

[Mean of Coefficients]

		a             	b             	c             	d             
	1	 8.817936E-001	-1.096093E-002	-5.783623E-003	 6.745115E-001
	2	 2.204922E-002	 3.739832E-003	 3.966429E-003	 6.155783E-002
	3	 6.470202E-002	-5.772020E-003	 2.720192E-004	 1.539727E-002
	4	-1.800671E-002	 2.693375E-003	-6.228247E-004	 9.070684E-003
	5	 1.886515E-002	-4.854060E-004	 4.903821E-004	 1.338464E-002
	6	-2.919878E-003	 1.635182E-004	-4.446834E-006	-5.752648E-003
	7	-1.815691E-003	 2.102861E-004	-3.704453E-004	-1.786763E-003
	8	-1.359464E-003	 2.764334E-006	 6.315285E-005	-1.376686E-003
	9	-3.942614E-004	 3.504518E-004	 3.038694E-004	-2.347737E-003
	10	-1.532885E-003	 8.924980E-005	 4.678886E-004	-1.281861E-003
	11	 4.176654E-004	-1.114416E-004	 3.858189E-004	-4.965698E-004
	12	-4.675017E-004	 2.907451E-006	-1.756852E-005	-4.198702E-004
	13	 3.330415E-004	 8.354857E-005	-1.706317E-004	-1.118458E-004
	14	-7.082370E-006	 2.112894E-004	-1.708040E-004	-2.316976E-004
	15	 5.233661E-004	 1.533517E-004	 1.371433E-004	-3.217576E-005
	16	-3.953727E-005	-1.621150E-005	 1.345300E-004	 4.199235E-005
	17	 5.748820E-004	 1.247794E-005	 1.704884E-005	-2.669740E-005
	18	 1.524769E-005	 4.314295E-005	-9.582772E-005	-4.878709E-005
	19	 2.846897E-004	 4.343082E-005	-1.278724E-004	 1.373197E-004
	20	 1.555104E-005	-5.887382E-005	-6.387363E-005	 2.028546E-004

[Std of Coefficients]

		a             	b             	c             	d             
	1	 1.043025E-001	Constant      	Constant      	 1.699891E-001
	2	 7.732540E-002	 7.526594E-002	 3.875975E-002	 6.374477E-002
	3	 5.569409E-002	 6.598017E-002	 3.299680E-002	 4.789795E-002
	4	 3.962326E-002	 4.109678E-002	 2.808089E-002	 3.485894E-002
	5	 2.953594E-002	 3.009544E-002	 2.504295E-002	 2.781142E-002
	6	 2.174866E-002	 1.932979E-002	 1.961268E-002	 2.071847E-002
	7	 1.699184E-002	 1.574291E-002	 1.707243E-002	 1.853588E-002
	8	 1.438380E-002	 1.333411E-002	 1.564486E-002	 1.639611E-002
	9	 1.265894E-002	 1.100597E-002	 1.324148E-002	 1.412845E-002
	10	 1.001127E-002	 9.223161E-003	 1.131828E-002	 1.147981E-002
	11	 8.427627E-003	 7.920934E-003	 9.627096E-003	 9.866011E-003
	12	 6.883220E-003	 6.630208E-003	 8.431095E-003	 8.354176E-003
	13	 5.828996E-003	 5.579836E-003	 7.294169E-003	 7.204473E-003
	14	 5.115076E-003	 4.705591E-003	 6.291691E-003	 6.111341E-003
	15	 4.494463E-003	 4.164847E-003	 5.465604E-003	 5.528682E-003
	16	 4.067402E-003	 3.778461E-003	 4.867141E-003	 5.051164E-003
	17	 3.643442E-003	 3.465770E-003	 4.564309E-003	 4.356255E-003
	18	 3.214078E-003	 3.115700E-003	 3.888180E-003	 3.914723E-003
	19	 2.947052E-003	 2.812160E-003	 3.545857E-003	 3.659112E-003
	20	 2.654811E-003	 2.585106E-003	 3.304455E-003	 3.341714E-003

[Eigenvalue and Proportion]

		Eigenvalue	Proportion(%)	Cumulative(%)	> 1/38
	Prin1	 1.010437E-002	       51.9583	       51.9583	*
	Prin2	 2.639878E-003	       13.5747	       65.5329	*
	Prin3	 1.773672E-003	        9.1205	       74.6534	*
	Prin4	 9.411244E-004	        4.8394	       79.4928	*
	Prin5	 8.964785E-004	        4.6098	       84.1027	*
	Prin6	 5.854530E-004	        3.0105	       87.1132	*
	Prin7	 4.469321E-004	        2.2982	       89.4114	
	Prin8	 3.271632E-004	        1.6823	       91.0937	
	Prin9	 3.044400E-004	        1.5655	       92.6592	
	Prin10	 2.236676E-004	        1.1501	       93.8093	
	Prin11	 1.803459E-004	        0.9274	       94.7367	
	Prin12	 1.713037E-004	        0.8809	       95.6175	
	Prin13	 1.221349E-004	        0.6280	       96.2456	
	Prin14	 1.056293E-004	        0.5432	       96.7887	
	Prin15	 9.382404E-005	        0.4825	       97.2712	
	Prin16	 7.006796E-005	        0.3603	       97.6315	
	Prin17	 6.263168E-005	        0.3221	       97.9536	
	Prin18	 5.408391E-005	        0.2781	       98.2317	
	Prin19	 4.894863E-005	        0.2517	       98.4834	
	Prin20	 3.883105E-005	        0.1997	       98.6830	
	Prin21	 3.531404E-005	        0.1816	       98.8646	
	Prin22	 2.974835E-005	        0.1530	       99.0176	
	Prin23	 2.772038E-005	        0.1425	       99.1601	
	Prin24	 2.295554E-005	        0.1180	       99.2782	
	Prin25	 2.137176E-005	        0.1099	       99.3881	
	Prin26	 1.846402E-005	        0.0949	       99.4830	
	Prin27	 1.589141E-005	        0.0817	       99.5647	
	Prin28	 1.409779E-005	        0.0725	       99.6372	
	Prin29	 1.194087E-005	        0.0614	       99.6986	
	Prin30	 1.012974E-005	        0.0521	       99.7507	
	Prin31	 8.934434E-006	        0.0459	       99.7967	
	Prin32	 8.100137E-006	        0.0417	       99.8383	
	Prin33	 7.157859E-006	        0.0368	       99.8751	
	Prin34	 6.563643E-006	        0.0338	       99.9089	
	Prin35	 5.494773E-006	        0.0283	       99.9371	
	Prin36	 4.967839E-006	        0.0255	       99.9627	
	Prin37	 3.899770E-006	        0.0201	       99.9827	
	Prin38	 3.358583E-006	        0.0173	      100.0000	

	Total Variance :	1.944709E-002

