[Analysis Information]

Results File : E:\PCAresults.pcr
Analyzed NEF File : E:\e2NEF
Title of NEF File Data : 
Analyzed Date : Tue May 10 17:28:19 2011
Method of Analysis : Covariance
Number of Data : 1430
Number of Harmonics : 20
Number of Analyzed Harmonics : 20
Constant Coefficient(s) : a1 d1 
Number of Principal Components : 38
( = Number of Analyzed Coefficients (NAC) )
Number of Effective Principal Components : 6
( = Number of Principal Components whose proportion is larger than 1 / NAC )
Analyzed Coefficients : a2 d2 a3 d3 a4 d4 a5 d5 a6 d6 a7 d7 a8 d8 a9 d9 a10 d10 a11 d11 a12 d12 a13 d13 a14 d14 a15 d15 a16 d16 a17 d17 a18 d18 a19 d19 a20 d20 

[Mean of Coefficients]

		a             	b             	c             	d             
	1	 8.817936E-001	-1.096093E-002	-5.783623E-003	 6.745115E-001
	2	 2.204922E-002	 3.739832E-003	 3.966429E-003	 6.155783E-002
	3	 6.470202E-002	-5.772020E-003	 2.720192E-004	 1.539727E-002
	4	-1.800671E-002	 2.693375E-003	-6.228247E-004	 9.070684E-003
	5	 1.886515E-002	-4.854060E-004	 4.903821E-004	 1.338464E-002
	6	-2.919878E-003	 1.635182E-004	-4.446834E-006	-5.752648E-003
	7	-1.815691E-003	 2.102861E-004	-3.704453E-004	-1.786763E-003
	8	-1.359464E-003	 2.764334E-006	 6.315285E-005	-1.376686E-003
	9	-3.942614E-004	 3.504518E-004	 3.038694E-004	-2.347737E-003
	10	-1.532885E-003	 8.924980E-005	 4.678886E-004	-1.281861E-003
	11	 4.176654E-004	-1.114416E-004	 3.858189E-004	-4.965698E-004
	12	-4.675017E-004	 2.907451E-006	-1.756852E-005	-4.198702E-004
	13	 3.330415E-004	 8.354857E-005	-1.706317E-004	-1.118458E-004
	14	-7.082370E-006	 2.112894E-004	-1.708040E-004	-2.316976E-004
	15	 5.233661E-004	 1.533517E-004	 1.371433E-004	-3.217576E-005
	16	-3.953727E-005	-1.621150E-005	 1.345300E-004	 4.199235E-005
	17	 5.748820E-004	 1.247794E-005	 1.704884E-005	-2.669740E-005
	18	 1.524769E-005	 4.314295E-005	-9.582772E-005	-4.878709E-005
	19	 2.846897E-004	 4.343082E-005	-1.278724E-004	 1.373197E-004
	20	 1.555104E-005	-5.887382E-005	-6.387363E-005	 2.028546E-004

[Std of Coefficients]

		a             	b             	c             	d             
	1	Constant      	 1.339806E-001	 4.652408E-002	
	2	 7.732540E-002	 7.526594E-002	 3.875975E-002	 6.374477E-002
	3	 5.569409E-002	 6.598017E-002	 3.299680E-002	 4.789795E-002
	4	 3.962326E-002	 4.109678E-002	 2.808089E-002	 3.485894E-002
	5	 2.953594E-002	 3.009544E-002	 2.504295E-002	 2.781142E-002
	6	 2.174866E-002	 1.932979E-002	 1.961268E-002	 2.071847E-002
	7	 1.699184E-002	 1.574291E-002	 1.707243E-002	 1.853588E-002
	8	 1.438380E-002	 1.333411E-002	 1.564486E-002	 1.639611E-002
	9	 1.265894E-002	 1.100597E-002	 1.324148E-002	 1.412845E-002
	10	 1.001127E-002	 9.223161E-003	 1.131828E-002	 1.147981E-002
	11	 8.427627E-003	 7.920934E-003	 9.627096E-003	 9.866011E-003
	12	 6.883220E-003	 6.630208E-003	 8.431095E-003	 8.354176E-003
	13	 5.828996E-003	 5.579836E-003	 7.294169E-003	 7.204473E-003
	14	 5.115076E-003	 4.705591E-003	 6.291691E-003	 6.111341E-003
	15	 4.494463E-003	 4.164847E-003	 5.465604E-003	 5.528682E-003
	16	 4.067402E-003	 3.778461E-003	 4.867141E-003	 5.051164E-003
	17	 3.643442E-003	 3.465770E-003	 4.564309E-003	 4.356255E-003
	18	 3.214078E-003	 3.115700E-003	 3.888180E-003	 3.914723E-003
	19	 2.947052E-003	 2.812160E-003	 3.545857E-003	 3.659112E-003
	20	 2.654811E-003	 2.585106E-003	 3.304455E-003	 3.341714E-003

[Eigenvalue and Proportion]

		Eigenvalue	Proportion(%)	Cumulative(%)	> 1/38
	Prin1	 8.240488E-003	       35.6766	       35.6766	*
	Prin2	 5.296096E-003	       22.9290	       58.6056	*
	Prin3	 3.275667E-003	       14.1817	       72.7874	*
	Prin4	 1.461978E-003	        6.3295	       79.1169	*
	Prin5	 1.074117E-003	        4.6503	       83.7672	*
	Prin6	 7.791637E-004	        3.3733	       87.1405	*
	Prin7	 6.065459E-004	        2.6260	       89.7665	
	Prin8	 4.015080E-004	        1.7383	       91.5048	
	Prin9	 3.615543E-004	        1.5653	       93.0701	
	Prin10	 2.844495E-004	        1.2315	       94.3016	
	Prin11	 2.046087E-004	        0.8858	       95.1875	
	Prin12	 1.857040E-004	        0.8040	       95.9915	
	Prin13	 1.374882E-004	        0.5952	       96.5867	
	Prin14	 1.151185E-004	        0.4984	       97.0851	
	Prin15	 9.855351E-005	        0.4267	       97.5118	
	Prin16	 9.373942E-005	        0.4058	       97.9176	
	Prin17	 7.195045E-005	        0.3115	       98.2291	
	Prin18	 5.339642E-005	        0.2312	       98.4603	
	Prin19	 5.081404E-005	        0.2200	       98.6803	
	Prin20	 4.023491E-005	        0.1742	       98.8545	
	Prin21	 3.874935E-005	        0.1678	       99.0222	
	Prin22	 3.123912E-005	        0.1352	       99.1575	
	Prin23	 2.787366E-005	        0.1207	       99.2782	
	Prin24	 2.509131E-005	        0.1086	       99.3868	
	Prin25	 2.213369E-005	        0.0958	       99.4826	
	Prin26	 1.876872E-005	        0.0813	       99.5639	
	Prin27	 1.570954E-005	        0.0680	       99.6319	
	Prin28	 1.547413E-005	        0.0670	       99.6989	
	Prin29	 1.223924E-005	        0.0530	       99.7519	
	Prin30	 1.060330E-005	        0.0459	       99.7978	
	Prin31	 9.230848E-006	        0.0400	       99.8377	
	Prin32	 8.058548E-006	        0.0349	       99.8726	
	Prin33	 6.544967E-006	        0.0283	       99.9010	
	Prin34	 5.983353E-006	        0.0259	       99.9269	
	Prin35	 5.233381E-006	        0.0227	       99.9495	
	Prin36	 4.493610E-006	        0.0195	       99.9690	
	Prin37	 3.773673E-006	        0.0163	       99.9853	
	Prin38	 3.388737E-006	        0.0147	      100.0000	

	Total Variance :	2.309776E-002

