DATA_NAME	PC1	PC2	PC3	PC4	PC5	PC6
L1_EA1_1	4.092099e-02	-2.289849e-02	1.942041e-02	-1.695847e-02	7.537380e-02	-3.527625e-02
L1_EA10_1	1.365716e-02	-3.320240e-02	-3.495509e-02	-6.686921e-02	7.711559e-03	-3.488832e-02
L1_EA11_1	3.969760e-02	-2.647505e-02	8.758275e-02	2.466402e-02	1.936020e-02	-1.377761e-02
L1_EA12_1	3.167444e-02	-5.578967e-02	-8.490486e-03	4.319111e-02	2.779628e-02	1.466165e-04
L1_EA13_1	2.864699e-02	-4.509056e-02	-5.149232e-02	-4.520545e-02	2.834409e-02	3.323800e-02
L1_EA14_1	1.789341e-01	-1.348827e-01	4.995462e-02	8.355444e-03	5.818787e-02	-1.810018e-02
L1_EA15_1	1.897941e-01	-7.828323e-02	-7.204623e-02	-3.704954e-02	-3.411074e-02	5.907244e-03
L1_EA17_1	9.465823e-03	-2.334134e-02	2.050524e-02	-3.146137e-02	4.892738e-02	5.698772e-03
L1_EA18_1	1.586687e-01	-1.344092e-01	-4.923012e-02	8.958345e-03	-6.321503e-02	-3.839227e-02
L1_EA2_1	2.464943e-02	1.748765e-02	4.825115e-03	1.167194e-02	7.717485e-02	2.640038e-02
L1_EA3_1	-2.946403e-02	-6.230442e-02	1.797349e-02	-2.494580e-02	2.549999e-02	-1.674932e-02
L1_EA4_1	7.589972e-02	2.919980e-03	-4.768779e-02	2.537375e-02	5.367713e-02	2.893882e-02
L1_EA5_1	1.215533e-01	-4.131992e-02	-3.056229e-02	-1.898367e-02	6.473424e-02	1.891162e-02
L1_EA7_1	2.487725e-02	-1.165604e-02	4.789928e-03	-1.633623e-02	3.709117e-02	2.354991e-03
L1_EA8_1	8.219177e-02	1.241919e-01	1.076940e-02	8.613078e-02	2.955560e-02	-9.050325e-03
L1_EA9_1	-2.323306e-02	-1.013765e-02	-3.676122e-02	-2.979750e-02	2.290417e-02	-2.039654e-02
L1_EB1_1	-2.673223e-02	-6.715823e-02	4.861157e-03	-4.311098e-02	3.007211e-02	1.100667e-02
L1_EB10_1	1.703524e-02	3.934278e-02	-2.238570e-02	-8.226223e-03	3.601436e-02	-1.189011e-02
L1_EB11_1	-9.103050e-03	1.429756e-02	-1.484495e-02	9.402788e-03	7.249070e-02	4.735590e-03
L1_EB12_1	-3.642045e-02	7.052842e-02	3.684356e-02	-4.484853e-02	-1.416703e-02	-1.210188e-02
L1_EB13_1	-1.974181e-02	-6.109191e-02	2.442159e-03	-1.452012e-02	3.824724e-02	1.601932e-02
L1_EB14_1	1.138469e-02	5.916757e-02	-1.032999e-02	6.059056e-02	5.549478e-02	-1.205935e-02
L1_EB15_1	-3.992196e-03	-3.506343e-02	-1.281420e-02	-2.954364e-02	3.414384e-02	-2.066792e-02
L1_EB16_1	-2.777988e-02	-5.163664e-02	1.855409e-02	-3.942055e-02	5.173077e-02	-7.874767e-03
L1_EB17_1	-3.655753e-02	1.753680e-02	5.723826e-03	5.337291e-03	7.600307e-03	-1.100295e-03
L1_EB19_1	6.889775e-04	-2.266532e-02	-1.472873e-02	-1.568073e-02	3.486740e-02	2.126948e-03
L1_EB2_1	-1.695849e-02	5.138656e-02	1.052593e-03	-4.148183e-02	-6.507556e-03	1.971052e-02
L1_EB3_1	3.306295e-02	3.947804e-02	1.719693e-02	2.592794e-02	6.247377e-02	1.941745e-03
L1_EB4_1	-2.545357e-02	-1.020402e-02	1.428408e-02	-2.738829e-02	4.281540e-03	-8.772282e-03
L1_EB5_1	8.930693e-03	-2.462417e-02	2.995057e-02	-2.302103e-02	4.448269e-02	1.562825e-02
L1_EB6_1	-4.964388e-02	-1.705473e-03	-5.365590e-02	1.751024e-02	3.826144e-02	4.727168e-03
L1_EB7_1	1.653857e-02	-1.032039e-01	1.032025e-02	-5.923386e-02	-1.435747e-02	3.211677e-03
L1_EB8_1	1.879571e-02	1.306006e-02	9.996435e-03	1.194761e-03	1.177340e-02	-6.456103e-03
L1_EB9_1	-8.154414e-04	2.065323e-02	3.238843e-02	-3.955177e-03	1.451505e-02	-3.130128e-03
L1_EC1_1	-6.247959e-02	-6.141823e-02	-6.278638e-02	-9.986690e-03	1.494873e-02	1.971221e-04
L1_EC10_1	-3.181517e-03	-2.330968e-02	-8.070373e-02	-5.701853e-02	-2.555513e-04	-6.592507e-03
L1_EC11_1	9.694235e-03	6.724182e-03	5.414801e-04	-5.073547e-03	7.810754e-02	-1.081043e-02
L1_EC12_1	1.331201e-01	-6.383152e-02	-5.037469e-02	-2.493462e-02	-1.459884e-02	1.369581e-02
L1_EC13_1	-3.439744e-02	4.543578e-02	2.012136e-02	-5.546275e-02	7.061513e-03	4.723213e-03
L1_EC14_1	-3.198137e-02	-4.692043e-02	2.426591e-02	-1.184673e-02	2.817913e-02	9.833509e-03
L1_EC15_1	-2.386213e-02	-5.487758e-02	1.440111e-02	-2.390773e-02	3.539391e-03	-6.256431e-03
L1_EC16_1	5.567760e-02	-6.861036e-02	2.817154e-02	-4.136755e-02	4.704747e-02	1.300723e-02
L1_EC17_1	-3.334413e-03	4.336794e-03	2.745304e-03	-9.905523e-03	4.514501e-02	7.584176e-03
L1_EC18_1	-2.084716e-02	-1.717285e-02	1.144212e-03	-7.816306e-03	2.378993e-02	-3.997656e-03
L1_EC2_1	-1.040852e-02	-1.145039e-02	3.546128e-03	-1.095974e-02	5.366795e-02	1.028755e-03
L1_EC3_1	3.598343e-02	-1.008757e-02	-1.390717e-02	-7.353593e-03	1.413812e-02	8.721397e-03
L1_EC4_1	-7.230262e-02	1.815112e-04	-5.152365e-02	-2.491352e-02	4.327853e-03	-1.572344e-02
L1_EC5_1	2.577154e-03	-3.035532e-02	4.066498e-02	-1.291583e-02	3.418969e-02	-1.318874e-02
L1_EC6_1	-6.081778e-03	-5.037070e-02	6.276718e-02	4.906495e-02	5.419321e-02	3.335296e-03
L1_EC7_1	-4.345086e-02	-1.006271e-02	7.999530e-04	-4.315106e-02	2.915527e-02	1.123584e-02
L1_EC8_1	1.803762e-02	-4.634872e-02	1.443092e-02	-5.124534e-02	2.954989e-02	-4.770019e-03
L1_EC9_1	-1.904234e-02	6.584122e-02	-3.944190e-03	-3.018963e-02	3.348389e-02	1.289995e-02
L1_ED1_1	1.058295e-02	-2.816856e-02	1.379815e-03	-2.847923e-02	2.259983e-02	9.365046e-03
L1_ED10_1	-6.993960e-02	-1.134747e-01	-3.474009e-02	-2.580860e-02	1.967695e-02	4.530288e-02
L1_ED11_1	5.579702e-03	3.301656e-02	5.222317e-02	-2.046660e-02	4.133617e-02	1.653513e-02
L1_ED12_1	-3.202041e-02	-4.624568e-02	3.482644e-02	3.280682e-02	4.606366e-03	5.059913e-02
L1_ED13_1	9.629434e-03	5.572256e-02	1.741904e-02	-9.928180e-03	1.966469e-02	-1.171544e-02
L1_ED14_1	-2.033362e-02	-6.521275e-02	6.745693e-03	-1.820197e-02	2.168021e-02	-2.310538e-02
L1_ED15_1	2.312616e-04	1.218524e-02	9.920219e-03	7.391623e-03	2.845442e-02	-8.873851e-03
L1_ED16_1	-9.106877e-03	1.038258e-02	7.611337e-02	-8.112102e-03	6.610649e-02	2.141955e-02
L1_ED17_1	3.580365e-02	-3.962135e-02	8.198424e-03	-1.864186e-02	8.238426e-02	1.235610e-02
L1_ED18_1	1.252710e-03	3.162912e-02	-1.691158e-02	-3.536166e-02	2.678611e-02	-1.148374e-02
L1_ED2_1	3.783612e-03	6.684642e-02	3.292858e-02	1.887172e-02	-3.839515e-03	-1.903180e-02
L1_ED3_1	-7.386897e-02	-1.171758e-02	-7.269480e-02	-5.379731e-02	5.959430e-03	-3.586207e-02
L1_ED5_1	2.620129e-02	1.004281e-04	1.412697e-02	-4.227368e-02	4.011388e-02	1.918235e-02
L1_ED6_1	6.203475e-03	2.238149e-03	-2.241048e-02	-1.876774e-02	8.216970e-02	3.048730e-02
L1_ED7_1	6.014342e-02	7.477725e-02	8.665008e-02	-3.491581e-02	-7.627889e-03	2.360293e-02
L1_ED8_1	-1.722076e-04	2.357781e-02	4.189782e-02	-4.883037e-02	2.442943e-02	2.794065e-03
L1_ED9_1	8.966658e-03	-2.634290e-03	1.863628e-02	1.970024e-02	3.705445e-02	-2.248915e-02
L1_EE1_1	3.146157e-03	-3.810979e-02	3.964462e-03	-1.187990e-02	4.489512e-02	-8.732404e-04
L1_EE10_1	7.343386e-02	-4.425843e-02	-8.916060e-03	4.398881e-03	2.922276e-02	-1.960502e-02
L1_EE11_1	4.169623e-03	-7.078911e-02	3.078290e-02	-3.761691e-02	4.246561e-02	-1.095179e-02
L1_EE12_1	8.793954e-02	6.233435e-02	3.705812e-02	1.781838e-02	2.495566e-02	-2.450606e-02
L1_EE13_1	-1.513716e-02	-7.626050e-02	1.571120e-02	-1.880362e-02	3.020874e-02	4.178264e-03
L1_EE14_1	1.369367e-01	-5.362223e-02	-1.635823e-03	-2.376059e-02	5.067134e-02	-9.181887e-03
L1_EE16_1	-2.241214e-02	-4.041384e-02	7.413266e-03	-4.281238e-02	1.927686e-02	4.472542e-02
L1_EE17_1	-4.774741e-02	-2.122561e-03	-1.763055e-02	-9.834968e-03	-3.156039e-02	1.927243e-03
L1_EE18_1	-4.682821e-03	-6.254453e-02	2.904795e-02	5.786028e-02	-1.223283e-02	1.391732e-02
L1_EE2_1	-9.979133e-03	-1.963627e-02	2.730066e-02	-2.540841e-02	2.549083e-02	1.218821e-02
L1_EE3_1	5.162983e-02	9.050576e-02	3.314098e-03	-6.072797e-02	-3.149014e-03	2.647411e-02
L1_EE4_1	5.246407e-02	1.567120e-02	-2.240050e-02	-2.002483e-02	1.062276e-02	5.969413e-03
L1_EE5_1	1.896985e-02	-2.165122e-02	-6.169873e-02	-6.933894e-02	-4.588531e-02	1.516438e-02
L1_EE6_1	2.352771e-02	2.339364e-02	-4.344324e-03	-1.441646e-02	8.889843e-04	-1.004182e-02
L1_EE7_1	-2.420933e-02	6.029570e-02	-2.107853e-02	-2.139425e-02	1.088225e-02	-1.298860e-02
L1_EE8_1	2.097090e-01	-1.146453e-01	-2.381758e-02	-9.865593e-03	1.603802e-02	6.155709e-03
L1_EE9_1	1.155003e-01	-7.387559e-02	2.003889e-02	3.803717e-02	-8.532187e-04	-2.416239e-02
L1_EF1_1	-1.669696e-02	-4.001375e-02	1.123837e-02	-2.917626e-03	2.424256e-02	-2.824859e-03
L1_EF10_1	-1.006243e-01	-1.312586e-02	-5.346697e-02	-2.189560e-02	4.682259e-02	3.109624e-02
L1_EF11_1	3.697206e-03	-7.560357e-02	1.362348e-02	-8.833919e-02	1.145759e-02	-1.286933e-04
L1_EF12_1	2.948365e-02	-2.303873e-02	2.002469e-02	2.079539e-02	1.620536e-02	4.915719e-03
L1_EF13_1	2.678927e-02	-4.266895e-03	-4.236698e-02	6.758623e-03	1.287520e-02	2.573705e-02
L1_EF14_1	6.829717e-02	-6.967567e-02	-6.053197e-02	-1.396258e-02	5.808761e-02	6.590565e-02
L1_EF15_1	2.985845e-02	-6.100788e-02	-2.725678e-02	-2.261622e-02	3.078064e-02	1.516692e-02
L1_EF16_1	-1.196896e-02	-7.342594e-02	3.256394e-02	-3.161650e-02	1.565791e-02	4.085140e-03
L1_EF18_1	-2.182187e-02	3.222014e-03	-6.954802e-03	-5.998795e-03	3.996765e-02	-2.309683e-02
L1_EF2_1	-1.052772e-02	-1.925900e-02	3.535884e-02	-4.225697e-02	-7.099330e-03	1.230480e-02
L1_EF3_1	1.328945e-02	-2.964963e-02	1.058330e-02	-1.349277e-02	4.210559e-02	1.705305e-02
L1_EF4_1	1.327324e-02	-8.378507e-02	5.577659e-02	-7.145253e-02	7.741762e-02	5.715592e-02
L1_EF5_1	8.132314e-03	-5.217275e-03	3.705774e-02	-2.359971e-02	5.375772e-02	5.746544e-03
L1_EF6_1	6.726234e-02	-3.760256e-02	-1.535437e-02	-4.625406e-02	6.882497e-02	3.267080e-02
L1_EF7_1	-3.335890e-02	-3.743483e-02	-1.978538e-02	8.403243e-03	1.849611e-02	1.164771e-02
L1_EF8_1	1.614792e-02	-7.047919e-03	-2.053734e-02	9.181757e-03	4.572298e-02	-3.033039e-02
