 	label	length	height	rep
1	3130.1.tif	0.177	0.054	2
2	3130.2.tif	0.155	0.052	2
3	3130.3.tif	0.188	0.084	2
4	3130.4.tif	0.131	0.033	2
5	3130.5.tif	0.184	0.077	2
6	3130.6.tif	0.181	0.072	2
7	3130.7.tif	0.165	0.042	2
8	3130.8.tif	0.138	0.033	2
9	3130.9.tif	0.165	0.037	2
10	3130.10.tif	0.177	0.077	2
11	3130.11.tif	0.171	0.046	2
12	3130.12.tif	0.101	0.031	2
13	3130.13.tif	0.156	0.042	2
14	3130.14.tif	0.163	0.054	2
15	3130.15.tif	0.169	0.058	2
16	3130.16.tif	0.159	0.048	2
17	3130.17.tif	0.162	0.044	2
18	3130.18.tif	0.129	0.025	2
19	e2.1.tif	0.173	0.06	2
20	e2.2.tif	0.171	0.077	2
21	e2.3.tif	0.148	0.069	2
22	e2.4.tif	0.167	0.052	2
23	e2.5.tif	0.117	0.05	2
24	e2.6.tif	0.168	0.077	2
25	e2.7.tif	0.169	0.056	2
26	e2.8.tif	0.112	0.031	2
27	e2.9.tif	0.181	0.071	2
28	e2.10.tif	0.171	0.076	2
29	e2.11.tif	0.161	0.04	2
