 ,Label,height,width,genotype
1,e2_001.01.tif,0.091,0.193,e2
2,e2_001.02.tif,0.138,0.203,e2
3,e2_001.03.tif,0.101,0.165,e2
4,e2_001.04.tif,0.164,0.218,e2
5,e2_001.05.tif,0.119,0.19,e2
6,e2_001.06.tif,0.14,0.199,e2
7,e2_001.07.tif,0.108,0.186,e2
8,e2_001.09.tif,0.106,0.197,e2
9,e2_001.10.tif,0.051,0.139,e2
10,e2_001.11.tif,0.077,0.179,e2
11,e2_001.12.tif,0.073,0.186,e2
12,e2_001.13.tif,0.123,0.192,e2
13,e2_002.01.tif,0.095,0.191,e2
14,e2_002.02.tif,0.052,0.106,e2
15,e2_002.04.tif,0.073,0.13,e2
16,e2_002.05.tif,0.077,0.175,e2
17,e2_002.06.tif,0.088,0.189,e2
18,e2_002.07.tif,0.102,0.21,e2
19,e2_002.08.tif,0.078,0.18,e2
20,e2_002.11.tif,0.081,0.171,e2
21,e2_003.02.tif,0.069,0.163,e2
22,e2_003.03.tif,0.127,0.199,e2
23,e2_003.06.tif,0.122,0.197,e2
24,e2_003.08.b.tif,0.087,0.161,e2
25,e2_003.09.tif,0.097,0.156,e2
26,e2_003.11.tif,0.127,0.178,e2
27,e2_003.12.tif,0.104,0.145,e2
28,e2_004.01.tif,0.074,0.164,e2
29,e2_004.03.tif,0.088,0.184,e2
30,e2_004.04.tif,0.093,0.181,e2
31,e2_004.07.tif,0.042,0.054,e2
32,e2_004.08.tif,0.037,0.038,e2
33,e2_004.09.tif,0.082,0.16,e2
34,e2_004.10.a.tif,0.073,0.146,e2
35,e2_004.10.b.tif,0.08,0.133,e2
36,e2_004.11.tif,0.066,0.094,e2
37,e2_006.tif,0.073,0.168,wt
38,wt_01.tif,0.046,0.154,wt
39,wt_02.tif,0.075,0.185,wt
40,wt_03.tif,0.077,0.2,wt
41,wt_04.tif,0.071,0.216,wt
42,wt_05.tif,0.063,0.192,wt
43,wt_06.tif,0.084,0.223,wt
44,wt_07.tif,0.062,0.166,wt
45,wt_08.tif,0.079,0.228,wt
46,wt_09.tif,0.081,0.195,wt
47,wt_10.tif,0.077,0.214,wt
48,wt_11.tif,0.071,0.2,wt
49,wt_12.tif,0.083,0.207,wt
50,wt_13.tif,0.061,0.171,wt
51,wt_14.tif,0.044,0.158,wt
52,wt_15.tif,0.062,0.164,wt
