label,height,width,genotype,rep
e2_001.01.tif,0.091,0.193,e2,1
e2_001.02.tif,0.138,0.203,e2,1
e2_001.03.tif,0.101,0.165,e2,1
e2_001.04.tif,0.164,0.218,e2,1
e2_001.05.tif,0.119,0.19,e2,1
e2_001.06.tif,0.14,0.199,e2,1
e2_001.07.tif,0.108,0.186,e2,1
e2_001.09.tif,0.106,0.197,e2,1
e2_001.10.tif,0.051,0.139,e2,1
e2_001.11.tif,0.077,0.179,e2,1
e2_001.12.tif,0.073,0.186,e2,1
e2_001.13.tif,0.123,0.192,e2,1
e2_002.01.tif,0.095,0.191,e2,1
e2_002.02.tif,0.052,0.106,e2,1
e2_002.04.tif,0.073,0.13,e2,1
e2_002.05.tif,0.077,0.175,e2,1
e2_002.06.tif,0.088,0.189,e2,1
e2_002.07.tif,0.102,0.21,e2,1
e2_002.08.tif,0.078,0.18,e2,1
e2_002.11.tif,0.081,0.171,e2,1
e2_003.02.tif,0.069,0.163,e2,1
e2_003.03.tif,0.127,0.199,e2,1
e2_003.06.tif,0.122,0.197,e2,1
e2_003.08.b.tif,0.087,0.161,e2,1
e2_003.09.tif,0.097,0.156,e2,1
e2_003.11.tif,0.127,0.178,e2,1
e2_003.12.tif,0.104,0.145,e2,1
e2_004.01.tif,0.074,0.164,e2,1
e2_004.03.tif,0.088,0.184,e2,1
e2_004.04.tif,0.093,0.181,e2,1
e2_004.07.tif,0.042,0.054,e2,1
e2_004.08.tif,0.037,0.038,e2,1
e2_004.09.tif,0.082,0.16,e2,1
e2_004.10.b.tif,0.08,0.133,e2,1
e2_004.11.tif,0.066,0.094,e2,1
e2_006.tif,0.073,0.168,wt,1
wt_01.tif,0.046,0.154,wt,1
wt_02.tif,0.075,0.185,wt,1
wt_03.tif,0.077,0.2,wt,1
wt_04.tif,0.071,0.216,wt,1
wt_05.tif,0.063,0.192,wt,1
wt_06.tif,0.084,0.223,wt,1
wt_07.tif,0.062,0.166,wt,1
wt_08.tif,0.079,0.228,wt,1
wt_09.tif,0.081,0.195,wt,1
wt_10.tif,0.077,0.214,wt,1
wt_11.tif,0.071,0.2,wt,1
wt_12.tif,0.083,0.207,wt,1
wt_13.tif,0.061,0.171,wt,1
wt_14.tif,0.044,0.158,wt,1
wt_15.tif,0.062,0.164,wt,1
3130.1.tif,0.054,0.177,wt,2
3130.2.tif,0.052,0.155,wt,2
3130.3.tif,0.084,0.188,wt,2
3130.4.tif,0.033,0.131,wt,2
3130.5.tif,0.077,0.184,wt,2
3130.6.tif,0.072,0.181,wt,2
3130.7.tif,0.042,0.165,wt,2
3130.8.tif,0.033,0.138,wt,2
3130.9.tif,0.037,0.165,wt,2
3130.10.tif,0.077,0.177,wt,2
3130.11.tif,0.046,0.171,wt,2
3130.12.tif,0.031,0.101,wt,2
3130.13.tif,0.042,0.156,wt,2
3130.14.tif,0.054,0.163,wt,2
3130.15.tif,0.058,0.169,wt,2
3130.16.tif,0.048,0.159,wt,2
3130.17.tif,0.044,0.162,wt,2
3130.18.tif,0.025,0.129,wt,2
e2.1.tif,0.06,0.173,e2,2
e2.2.tif,0.077,0.171,e2,2
e2.3.tif,0.069,0.148,e2,2
e2.4.tif,0.052,0.167,e2,2
e2.5.tif,0.05,0.117,e2,2
e2.6.tif,0.077,0.168,e2,2
e2.7.tif,0.056,0.169,e2,2
e2.8.tif,0.031,0.112,e2,2
e2.9.tif,0.071,0.181,e2,2
e2.10.tif,0.076,0.171,e2,2
e2.11.tif,0.04,0.161,e2,2
