primordia,leaf,angle,genotype,plant,population
,L2L3,37.89,e2,E43,1
,L2L3,55.71,3130,W13,1
,L1L2,62.54,e2,E30,1
,L2L3,65.03,e2,E82,1
,L2L3,67.17,e2,E55,1
,L2L3,69.2,e2,E21,1
,L2L3,69.27,e2,E33,1
,L4L5,70.53,e2,E93,1
,L2L3,71.78,e2,E76,1
P2P3,L6L7,72.055,e2,e28c,2
,L2L3,72.83,e2,E49,1
,L2L3,73.88,3130,W43,1
P4P5,L2L3,74.188,e2,e28i,2
,L3L4,74.58,e2,E72,1
P6P7,L2L3,74.645,e2,e28c,2
,L1L2,74.71,e2,E61,1
P1P2,L3L4,75.007,e2,e29a,2
,L2L3,75.03,e2,E93,1
P2P3,L4L5,75.243,3130,3130q,2
,L2L3,75.42,e2,E41,1
P2P3,L4L5,76.991,e2,e28i,2
,L2L3,78.76,3130,W84,1
,L1L2,79.81,e2,E102,1
,L2L3,80.73,e2,E90,1
,L2L3,82.41,3130,W77,1
,L3L4,84.81,e2,E60,1
,L2L3,84.82,e2,E18,1
,L2L3,84.85,e2,E59,1
,L2L3,84.85,e2,E64,1
,L2L3,84.94,e2,E92,1
,L2L3,85.82,e2,E88,1
,L2L3,85.88,3130,W85,1
P1P2,L7L8,86.504,3130,3130b,2
,L2L3,86.86,e2,E48,1
,L2L3,86.91,3130,W47,1
P3P4,L4L5,87.219,e2,e28e,2
,L4L5,87.83,e2,E85,1
,L2L3,88.65,3130,W45,1
,L2L3,89.47,3130,W79,1
P4P5,L2L3,89.492,3130,3130z,2
,L4L5,89.7,3130,W96,1
,L2L3,90.16,e2,E19,1
,L2L3,90.29,e2,E85,1
,L2L3,90.6,3130,W11,1
,L3L4,91.22,3130,W15,1
,L1L2,91.48,3130,W63,1
P3P4,L2L3,91.509,e2,e28p,2
,L2L3,92.75,3130,W97,1
,L1L2,93.01,e2,E1,1
,L2L3,93.43,e2,E47,1
,L2L3,93.67,3130,W24,1
P2P3,L3L4,94.057,e2,e29c,2
P4P5,L4L5,94.386,e2,e28c,2
P5P6,L2L3,94.401,e2,e28e,2
,L2L3,94.41,e2,E58,1
P3P4,L1L2,94.859,e2,e29a,2
,L2L3,95.45,3130,W20,1
,L2L3,95.53,e2,E65,1
,L3L4,95.77,3130,W66,1
,L4L5,95.91,e2,E75,1
,L2L3,96.06,e2,E86,1
,L2L3,96.3,e2,E26,1
,L2L3,96.56,3130,W68,1
,L2L3,97.24,e2,E12,1
,L2L3,97.27,3130,W64,1
,L2L3,97.28,e2,E40,1
,L4L5,97.65,e2,E84,1
,L2L3,97.81,3130,W35,1
,L2L3,98.8,e2,E39,1
,L2L3,98.8,e2,E61,1
,L4L5,98.89,3130,W78,1
,L1L2,99.48,e2,E104,1
,L3L4,99.78,e2,E90,1
,L2L3,100.02,e2,E80,1
,L2L3,100.24,e2,E101,1
,L2L3,100.34,e2,E74,1
,L2L3,100.6,3130,W78,1
,L2L3,101.22,3130,W103,1
,L2L3,101.88,3130,W53,1
,L1L2,102.45,3130,W54,1
P5P6,L2L3,103.121,3130,3130w,2
P6P7,L2L3,103.201,3130,3130b,2
P4P5,L2L3,103.215,3130,3130q,2
,L3L4,103.78,e2,E106,1
,L2L3,104.05,e2,E95,1
P1P2,L4L5,104.986,e2,e28g,2
,L3L4,105.2,e2,E69,1
,L1L2,105.26,3130,W19,1
,L4L5,105.29,3130,W65,1
,L2L3,105.59,e2,E73,1
,L2L3,106.05,3130,W74,1
,L2L3,106.2,3130,W96,1
,L3L4,106.25,3130,W70,1
,L3L4,106.49,3130,W14,1
,L2L3,107,3130,W21,1
,L2L3,107.08,3130,W71,1
,L2L3,107.32,3130,W65,1
,L2L3,107.35,3130,W48,1
P4P5,L2L3,107.383,3130,3130f,2
,L2L3,107.69,e2,E103,1
P5P6,L2L3,108.104,3130,3130k,2
,L2L3,108.43,e2,E53,1
,L2L3,108.54,e2,E108,1
P5P6,L2L3,108.555,3130,3130ff,2
,L2L3,108.73,3130,W12,1
,L1L2,108.86,e2,E58,1
,L2L3,108.96,3130,W37,1
,L1L2,108.96,e2,E92,1
,L3L4,109.1,e2,E61,1
P5P6,L2L3,109.192,3130,3130a,2
,L2L3,109.3,e2,E14,1
P2P3,L2L3,109.501,e2,e23e,2
,L2L3,109.52,3130,W93,1
,L2L3,109.82,3130,W7,1
,L2L3,110.13,3130,W102,1
P3P4,L2L3,111.064,e2,e21b,2
,L2L3,111.09,e2,E97,1
P3P4,L2L3,111.73,e2,e29g,2
,L2L3,111.88,e2,E45,1
,L2L3,112.15,3130,W55,1
,L2L3,112.18,e2,E71,1
,L2L3,112.19,3130,W31,1
,L2L3,112.93,3130,W52,1
,L2L3,113.23,3130,W73,1
,L2L3,113.45,e2,E57,1
,L4L5,113.79,3130,W89,1
,L2L3,114.23,3130,W59,1
,L3L4,114.4,3130,W86,1
,L3L4,114.45,3130,W10,1
,L1L2,114.81,e2,E105,1
,L2L3,114.86,3130,W25,1
,L2L3,115.09,3130,W87,1
,L3L4,115.12,3130,W18,1
,L4L5,115.42,e2,E103,1
,L2L3,115.45,3130,W82,1
,L2L3,115.71,e2,E105,1
P1P2,L4L5,115.903,e2,e28p,2
,L2L3,116.08,e2,E37,1
P5P6,L1L2,116.202,e2,e23g,2
,L2L3,116.4,3130,W62,1
P2P3,L4L5,116.493,3130,3130z,2
,L2L3,116.57,e2,E83,1
P5P6,L2L3,116.663,e2,e27g,2
,L2L3,116.7,3130,W40,1
,L2L3,116.7,e2,E23,1
,L3L4,116.87,3130,W55,1
P3P4,L3L4,117.055,3130,3130p,2
,L3L4,117.09,3130,W9,1
P1P2,L6L7,117.191,3130,3130ff,2
,L2L3,117.9,3130,W61,1
,L4L5,118,3130,W54,1
,L3L4,118.08,3130,W2,1
,L1L2,118.12,3130,W6,1
,L1L2,118.14,e2,E23,1
,L4L5,118.27,3130,W86,1
,L4L5,118.31,3130,W99,1
,L2L3,118.43,3130,W10,1
,L2L3,118.54,3130,W32,1
,L2L3,118.57,3130,W67,1
,L2L3,118.63,3130,W50,1
,L1L2,118.69,e2,E34,1
,L4L5,118.72,3130,W97,1
,L2L3,118.84,3130,W19,1
,L2L3,118.96,e2,E42,1
,L2L3,118.99,e2,E31,1
,L4L5,119.21,3130,W88,1
,L3L4,119.4,3130,W94,1
,L2L3,119.56,3130,W17,1
,L2L3,119.64,3130,W39,1
P1P2,L6L7,119.745,3130,3130a,2
,L3L4,119.76,3130,W27,1
P1P2,L5L6,119.825,3130,3130q,2
,L4L5,119.9,e2,E95,1
,L4L5,119.94,3130,W93,1
,L4L5,120.01,3130,W85,1
,L1L2,120.13,e2,E56,1
,L2L3,120.26,e2,E3,1
,L1L2,120.4,3130,W68,1
,L2L3,120.42,3130,W86,1
,L2L3,120.56,e2,E99,1
,L2L3,120.68,3130,W15,1
,L3L4,120.96,3130,W51,1
,L3L4,120.99,e2,E62,1
,L2L3,121.16,e2,E36,1
,L3L4,121.3,3130,W22,1
,L3L4,121.48,3130,W75,1
,L2L3,121.71,3130,W29,1
,L2L3,121.81,3130,W2,1
,L3L4,121.88,e2,E9,1
,L2L3,121.95,3130,W91,1
,L3L4,122,3130,W104,1
,L3L4,122.19,3130,W28,1
,L3L4,122.2,e2,E32,1
,L2L3,122.24,3130,W95,1
,L2L3,122.29,e2,E68,1
,L2L3,122.45,e2,E60,1
,L2L3,122.47,3130,W90,1
,L4L5,122.47,3130,W64,1
,L2L3,122.53,3130,W100,1
,L2L3,122.72,e2,E69,1
,L2L3,122.75,3130,W38,1
,L2L3,122.77,e2,E75,1
,L3L4,122.85,3130,W6,1
,L2L3,122.88,3130,W58,1
,L2L3,123.03,e2,E70,1
P1P2,L6L7,123.031,e2,e27g,2
,L3L4,123.05,3130,W58,1
,L4L5,123.09,3130,W79,1
,L2L3,123.11,3130,W42,1
,L3L4,123.14,e2,E96,1
,L2L3,123.18,3130,W26,1
,L4L5,123.33,3130,W62,1
P2P3,L3L4,123.35,e2,e29g,2
P1P2,L5L6,123.477,3130,3130f,2
,L2L3,123.8,e2,E94,1
,L1L2,123.87,e2,E14,1
,L3L4,124.05,3130,W80,1
,L2L3,124.28,3130,W89,1
,L2L3,124.53,3130,W16,1
,L4L5,124.59,3130,W82,1
,L3L4,124.82,e2,E36,1
,L1L2,124.9,3130,W64,1
,L2L3,124.93,3130,W92,1
P2P3,L5L6,124.961,3130,3130k,2
,L3L4,124.99,3130,W60,1
P2P3,L5L6,125.214,3130,3130ff,2
,L2L3,125.39,e2,E20,1
,L2L3,125.4,e2,E100,1
,L4L5,125.4,e2,E100,1
,L2L3,125.44,3130,W34,1
P1P2,L4L5,125.656,e2,e29c,2
P2P3,L6L7,125.665,3130,3130b,2
,L2L3,125.72,3130,W75,1
,L1L2,125.77,3130,W99,1
,L3L4,126.06,3130,W83,1
,L3L4,126.09,3130,W98,1
,L1L2,126.23,3130,W95,1
,L1L2,126.27,3130,W69,1
,L3L4,126.36,3130,W100,1
,L2L3,126.44,3130,W22,1
,L2L3,126.63,3130,W27,1
,L1L2,126.83,3130,W59,1
,L3L4,126.83,3130,W76,1
,L1L2,126.87,e2,E99,1
,L2L3,127.22,3130,W28,1
,L2L3,127.26,e2,E63,1
,L4L5,127.33,3130,W84,1
,L3L4,127.39,3130,W56,1
,L4L5,127.41,3130,W57,1
,L2L3,127.61,3130,W36,1
,L2L3,127.64,e2,E25,1
,L3L4,127.89,3130,W92,1
,L3L4,127.91,3130,W62,1
P1P2,L5L6,127.941,3130,3130z,2
,L2L3,128,3130,W88,1
,L3L4,128.04,3130,W89,1
,L3L4,128.06,3130,W42,1
,L3L4,128.09,3130,W21,1
,L4L5,128.18,3130,W95,1
,L2L3,128.28,3130,W41,1
P3P4,L4L5,128.29,3130,3130k,2
,L3L4,128.35,3130,W7,1
,L1L2,128.38,3130,W52,1
,L3L4,128.38,e2,E84,1
,L3L4,128.46,3130,W93,1
,L2L3,129.01,3130,W57,1
,L3L4,129.1,3130,W78,1
,L2L3,129.14,e2,E104,1
,L4L5,129.15,3130,W81,1
P2P3,L2L3,129.21,e2,e23k,2
,L2L3,129.29,e2,E62,1
,L4L5,129.32,3130,W74,1
,L2L3,129.41,3130,W23,1
,L3L4,129.45,e2,E70,1
,L3L4,129.63,3130,W81,1
,L2L3,129.77,3130,W1,1
,L4L5,129.78,3130,W104,1
,L3L4,129.79,3130,W11,1
,L4L5,129.83,e2,E92,1
,L3L4,129.84,3130,W12,1
,L4L5,130.01,3130,W61,1
,L2L3,130.02,3130,W81,1
,L3L4,130.3,3130,W72,1
,L2L3,130.52,3130,W60,1
P1P2,L5L6,130.83,3130,3130x,2
,L1L2,130.88,e2,E69,1
,L4L5,131,3130,W59,1
,L3L4,131.03,3130,W3,1
,L3L4,131.14,3130,W29,1
,L1L2,131.17,3130,W92,1
,L2L3,131.2,3130,W99,1
,L3L4,131.22,3130,W84,1
,L3L4,131.3,3130,W16,1
,L2L3,131.42,e2,E28,1
P5P6,L1L2,131.608,3130,3130x,2
,L3L4,131.63,e2,E40,1
,L3L4,131.82,3130,W54,1
,L3L4,131.91,3130,W39,1
,L3L4,132.18,3130,W90,1
,L1L2,132.21,3130,W51,1
P7P8,L1L2,132.229,3130,3130b,2
,L1L2,132.31,e2,E100,1
,L4L5,132.48,3130,W91,1
,L3L4,132.62,3130,W38,1
,L3L4,132.81,3130,W31,1
,L1L2,132.87,3130,W83,1
,L3L4,133.01,e2,E103,1
P1P2,L5L6,133.075,e2,e23g,2
,L4L5,133.19,3130,W87,1
,L1L2,133.48,3130,W77,1
,L4L5,133.55,e2,E102,1
P1P2,L6L7,133.75,e2,e28e,2
P3P4,L4L5,133.752,3130,3130w,2
P2P3,L4L5,133.821,e2,e23g,2
P2P3,L2L3,134.341,e2,e23m,2
,L2L3,134.68,3130,W44,1
,L2L3,134.73,e2,E24,1
,L1L2,134.8,3130,W70,1
P2P3,L5L6,134.897,e2,e27g,2
,L2L3,135.13,3130,W104,1
,L4L5,135.14,3130,W71,1
,L3L4,135.14,e2,E83,1
,L2L3,135.17,e2,E34,1
,L3L4,135.38,3130,W82,1
,L2L3,135.39,e2,E10,1
,L1L2,135.4,e2,E50,1
P1P2,L6L7,135.465,e2,e27i,2
,L2L3,135.62,3130,W33,1
P2P3,L4L5,135.69,3130,3130f,2
,L3L4,135.77,3130,W73,1
,L1L2,135.8,e2,E94,1
P2P3,L5L6,135.927,e2,e27i,2
,L3L4,136.06,3130,W91,1
,L2L3,136.07,3130,W9,1
,L3L4,136.15,3130,W17,1
P4P5,L4L5,136.326,3130,3130b,2
,L4L5,136.34,3130,W83,1
P4P5,L2L3,136.349,3130,3130p,2
,L2L3,136.4,e2,E89,1
,L1L2,136.44,3130,W48,1
,L1L2,136.48,3130,W33,1
P4P5,L3L4,136.488,3130,3130a,2
,L2L3,136.5,3130,W98,1
,L1L2,136.59,3130,W65,1
,L3L4,136.59,3130,W32,1
,L2L3,136.76,3130,W30,1
,L1L2,137.02,3130,W88,1
,L2L3,137.11,3130,W6,1
